modularity_class,target,party,count
0,Adam Jarchow for Assembly,Rep,8
0,Adam Neylon for Assembly,Rep,1
0,Allen for Wisconsin,Rep,48
0,Amy Loudenbeck for Assembly,Rep,68
0,Born For Assembly,Rep,62
0,Brooks for Assembly,Rep,15
0,Citizens for August,Rep,65
0,Citizens for Dale Kooyenga,Rep,48
0,Citizens for Horlacher,Rep,21
0,Citizens for Peter Barca,Dem,1
0,Citizens for Rob Hutton,Rep,17
0,Citizens for Tiffany,Rep,31
0,Comm to Elect Lena C. Taylor,Dem,2
0,Cowles for Senate,Rep,1
0,Duey for Senate,Rep,53
0,Edming for Assembly - A Bright Future for Wisconsin,Rep,21
0,Feyen for Senate,Rep,19
0,Forward with JoCasta,Dem,1
0,Friends & Neighbors of Robin Vos,Rep,77
0,Friends and Neighbors of Tom Weatherston,Rep,31
0,Friends for Jessie,Rep,46
0,Friends for Van Stippen,Dem,1
0,Friends of Alberta Darling,Rep,289
0,Friends of Allison Hetz,Rep,5
0,Friends of Chris Taylor,Dem,7
0,Friends of Cindi Duchow,Rep,28
0,Friends of Dave Hansen,Dem,9
0,Friends of Dianne Hesselbein,Dem,3
0,Friends of Eric Genrich,Dem,6
0,Friends of Eric Wimberger,Rep,1
0,Friends of Janel,Rep,31
0,Friends of John Macco,Rep,1
0,Friends of Jordan,Rep,1
0,Friends of Julian Bradley,Rep,2
0,Friends of Julie Lassa,Dem,17
0,Friends of Kathy Bernier,Rep,13
0,Friends of Katrina Shankland,Dem,1
0,Friends of Lee Nerison,Rep,5
0,Friends of Leon D. Young,Dem,2
0,Friends of Mandela Barnes,Dem,1
0,Friends of Marcus Hart,Dem,1
0,Friends of Mary,Rep,20
0,Friends of Melissa Sargent,Dem,1
0,Friends of Mike Kuglitsch,Rep,24
0,Friends of Pat Snyder,Rep,9
0,Friends of Rob Summerfield,Rep,7
0,Friends of Robb Kahl,Dem,58
0,Friends of Robert W. Wirch,Dem,2
0,Friends of Sam's Kerkman Klub,Rep,2
0,Friends of Sheila Harsdorf,Rep,18
0,Friends Of Steve Doyle,Dem,2
0,Friends of Steve Nass,Rep,17
0,Friends of Swearingen,Rep,8
0,Friends of Terry Katsma,Rep,1
0,Gannon for Assembly,Rep,1
0,Goyke For Assembly,Dem,2
0,Harris for Wisconsin,Dem,3
0,Hintz for Assembly,Dem,2
0,Jacque for Assembly,Rep,1
0,Jagler For Assembly,Rep,43
0,Jason for the 11th Assembly,Dem,11
0,Jeff Wright for Assembly,Dem,1
0,Jim Ott for Assembly,Rep,41
0,Joel Kitchens for Assembly,Rep,11
0,Jon For 76,Rep,3
0,Julia for Assembly,Dem,10
0,Kapanke for Senate,Dem,49
0,Ken Skowronski for Assembly,Rep,10
0,Knodl Assembly 24,Rep,7
0,Knudson for Assembly,Rep,1
0,Krug for Assembly,Rep,15
0,Mandy Wright for Assembly,Dem,1
0,Michael Schraa for Assembly,Rep,1
0,Murphy for Assembly Committee,Rep,2
0,Nancy 4 Wisconsin,Rep,7
0,Novak For Assembly,Dem,18
0,Olsen for Senate,Rep,33
0,People for Kleefisch,Rep,9
0,Petersen- Republican for 40th Assembly,Rep,1
0,Quinn for Assembly,Rep,62
0,Riemer for Assembly,Dem,2
0,Ripp for Assembly,Rep,9
0,Rob Brooks For Assembly,Rep,21
0,Rohrkaste for Assembly,Rep,1
0,Sanfelippo for Assembly,Rep,44
0,Schinke for Assembly,Rep,3
0,Scott Fitzgerald for Senate,Rep,171
0,Shilling for Senate,Dem,17
0,Spiros for Assembly,Rep,1
0,Steffen for Wisconsin,Rep,11
0,Steineke for Assembly,Rep,5
0,T E Pronschinske for Assembly,Rep,1
0,Tauchen for Assembly,Rep,2
0,Taxpayers for Kapenga,Rep,51
0,Taxpayers for Lasee,Rep,41
0,Taxpayers for Marklein,Rep,2
0,Taxpayers for Nygren,Rep,43
0,Taxpayers for Stafsholt,Rep,15
0,Testin for Senate,Rep,16
0,Tranel for Assembly,Dem,7
0,Vorpagel for Assembly,Rep,2
0,Wachs for Assembly,Dem,1
0,Warren Petryk For Assembly,Rep,4
0,WHITTOW FOR ASSEMBLY,Rep,4
0,Zimmerman for Wisconsin,Rep,1
0,NA,NA,43
1,Bennett For Assembly,Dem,1
1,Brooks for Assembly,Rep,3
1,Citizens for George Ferriter,Dem,2
1,Citizens of the 81st for Dave Considine,Dem,68
1,Friends for Van Stippen,Dem,3
1,Friends of Chris Taylor,Dem,6
1,Friends of Dave Hansen,Dem,3
1,Friends of Julie Lassa,Dem,4
1,Friends Of Steve Doyle,Dem,3
1,Harris for Wisconsin,Dem,3
1,Huftel for the 75th,Dem,1
1,Jeff Wright for Assembly,Dem,125
1,Mandy Wright for Assembly,Dem,2
1,Novak For Assembly,Dem,1
1,Olsen for Senate,Rep,3
1,Ripp for Assembly,Rep,1
1,Scott Fitzgerald for Senate,Rep,1
1,Shilling for Senate,Dem,6
1,Shrader for Wisconsin,Dem,117
