cluster,topic,result,lag,f_statistic,p_value
0,other,no relationship,7,NA,NA
0,education: liberal,no relationship,3,NA,NA
0,gerrymandering: liberal,no relationship,2,NA,NA
0,economy: liberal,no relationship,2,NA,NA
0,environment: liberal,no relationship,3,NA,NA
0,economy: conservative,no relationship,2,NA,NA
0,healthcare: liberal,no relationship,2,NA,NA
0,abortion and women's issues: liberal,no relationship,2,NA,NA
0,lgbtq+ issues: liberal,no relationship,3,NA,NA
0,race issues: liberal,no relationship,3,NA,NA
0,healthcare: conservative,no relationship,1,NA,NA
0,governance: liberal,no relationship,3,NA,NA
0,domestic violence: bipartisan,no relationship,1,NA,NA
0,voting: liberal,no relationship,3,NA,NA
0,guns: conservative,no relationship,1,NA,NA
0,abortion and women's issues: conservative,no relationship,1,NA,NA
0,education: conservative,no relationship,3,NA,NA
0,guns: liberal,no relationship,1,NA,NA
0,voting: conservative,no relationship,1,NA,NA
0,veterans issues: bipartisan,consumption,5,7.556991964477419,6.4944871786005e-7
0,drug abuse: bipartisan,no relationship,5,NA,NA
0,infrastructure: liberal,no relationship,2,NA,NA
0,cannabis: liberal,no relationship,5,NA,NA
0,lgbtq+ issues: conservative,no relationship,1,NA,NA
0,crime and police: conservative,no relationship,2,NA,NA
0,healthcare: bipartisan,no relationship,2,NA,NA
0,criminal justice reform: liberal,no relationship,2,NA,NA
1,other,no relationship,7,NA,NA
1,education: liberal,no relationship,2,NA,NA
1,gerrymandering: liberal,no relationship,7,NA,NA
1,economy: liberal,no relationship,2,NA,NA
1,environment: liberal,no relationship,7,NA,NA
1,economy: conservative,no relationship,2,NA,NA
1,healthcare: liberal,no relationship,2,NA,NA
1,abortion and women's issues: liberal,no relationship,2,NA,NA
1,lgbtq+ issues: liberal,no relationship,2,NA,NA
1,race issues: liberal,no relationship,2,NA,NA
1,healthcare: conservative,no relationship,2,NA,NA
1,governance: liberal,no relationship,2,NA,NA
1,domestic violence: bipartisan,no relationship,2,NA,NA
1,voting: liberal,no relationship,7,NA,NA
1,guns: conservative,no relationship,2,NA,NA
1,abortion and women's issues: conservative,no relationship,2,NA,NA
1,education: conservative,no relationship,2,NA,NA
1,guns: liberal,no relationship,3,NA,NA
1,voting: conservative,no relationship,8,NA,NA
1,veterans issues: bipartisan,access,7,7.115907705404077,3.275507665142349e-8
1,drug abuse: bipartisan,consumption,7,4.526389444865939,6.066429575559319e-5
1,infrastructure: liberal,no relationship,7,NA,NA
1,cannabis: liberal,no relationship,2,NA,NA
1,lgbtq+ issues: conservative,no relationship,1,NA,NA
1,crime and police: conservative,no relationship,2,NA,NA
1,healthcare: bipartisan,no relationship,2,NA,NA
1,criminal justice reform: liberal,no relationship,2,NA,NA
2,other,no relationship,7,NA,NA
2,education: liberal,no relationship,7,NA,NA
2,gerrymandering: liberal,no relationship,7,NA,NA
2,economy: liberal,no relationship,7,NA,NA
2,environment: liberal,no relationship,7,NA,NA
2,economy: conservative,no relationship,7,NA,NA
2,healthcare: liberal,no relationship,7,NA,NA
2,abortion and women's issues: liberal,no relationship,7,NA,NA
2,lgbtq+ issues: liberal,no relationship,4,NA,NA
2,race issues: liberal,no relationship,7,NA,NA
2,healthcare: conservative,no relationship,7,NA,NA
2,governance: liberal,no relationship,7,NA,NA
2,domestic violence: bipartisan,no relationship,7,NA,NA
2,voting: liberal,no relationship,7,NA,NA
2,guns: conservative,no relationship,7,NA,NA
2,abortion and women's issues: conservative,no relationship,7,NA,NA
2,education: conservative,no relationship,7,NA,NA
2,guns: liberal,no relationship,7,NA,NA
2,voting: conservative,no relationship,7,NA,NA
2,veterans issues: bipartisan,no relationship,7,NA,NA
2,drug abuse: bipartisan,no relationship,7,NA,NA
2,infrastructure: liberal,no relationship,7,NA,NA
2,cannabis: liberal,no relationship,4,NA,NA
2,lgbtq+ issues: conservative,no relationship,1,NA,NA
2,crime and police: conservative,no relationship,7,NA,NA
2,healthcare: bipartisan,no relationship,7,NA,NA
2,criminal justice reform: liberal,no relationship,8,NA,NA
3,other,no relationship,7,NA,NA
3,education: liberal,no relationship,3,NA,NA
3,gerrymandering: liberal,no relationship,3,NA,NA
3,economy: liberal,no relationship,3,NA,NA
3,environment: liberal,no relationship,3,NA,NA
3,economy: conservative,no relationship,4,NA,NA
3,healthcare: liberal,no relationship,4,NA,NA
3,abortion and women's issues: liberal,no relationship,3,NA,NA
3,lgbtq+ issues: liberal,no relationship,4,NA,NA
3,race issues: liberal,access,4,6.677643515408535,2.8502438548858557e-5
3,healthcare: conservative,no relationship,4,NA,NA
3,governance: liberal,no relationship,3,NA,NA
3,domestic violence: bipartisan,no relationship,3,NA,NA
3,voting: liberal,no relationship,3,NA,NA
3,guns: conservative,no relationship,3,NA,NA
3,abortion and women's issues: conservative,no relationship,3,NA,NA
3,education: conservative,no relationship,3,NA,NA
3,guns: liberal,no relationship,4,NA,NA
3,voting: conservative,no relationship,3,NA,NA
3,veterans issues: bipartisan,no relationship,3,NA,NA
3,drug abuse: bipartisan,no relationship,3,NA,NA
3,infrastructure: liberal,no relationship,3,NA,NA
3,cannabis: liberal,no relationship,3,NA,NA
3,lgbtq+ issues: conservative,no relationship,3,NA,NA
3,crime and police: conservative,no relationship,3,NA,NA
3,healthcare: bipartisan,no relationship,3,NA,NA
3,criminal justice reform: liberal,no relationship,3,NA,NA
4,other,no relationship,7,NA,NA
4,education: liberal,no relationship,1,NA,NA
4,gerrymandering: liberal,no relationship,3,NA,NA
4,economy: liberal,no relationship,7,NA,NA
4,environment: liberal,no relationship,1,NA,NA
4,economy: conservative,no relationship,7,NA,NA
4,healthcare: liberal,no relationship,1,NA,NA
4,abortion and women's issues: liberal,no relationship,1,NA,NA
4,lgbtq+ issues: liberal,no relationship,1,NA,NA
4,race issues: liberal,no relationship,1,NA,NA
4,healthcare: conservative,no relationship,1,NA,NA
4,governance: liberal,no relationship,3,NA,NA
4,domestic violence: bipartisan,no relationship,1,NA,NA
4,voting: liberal,no relationship,7,NA,NA
4,guns: conservative,consumption,4,6.51429910719909,3.817120053514762e-5
4,abortion and women's issues: conservative,no relationship,2,NA,NA
4,education: conservative,no relationship,1,NA,NA
4,guns: liberal,no relationship,7,NA,NA
4,voting: conservative,no relationship,1,NA,NA
4,veterans issues: bipartisan,no relationship,1,NA,NA
4,drug abuse: bipartisan,no relationship,1,NA,NA
4,infrastructure: liberal,no relationship,1,NA,NA
4,cannabis: liberal,no relationship,1,NA,NA
4,lgbtq+ issues: conservative,no relationship,1,NA,NA
4,crime and police: conservative,no relationship,3,NA,NA
4,healthcare: bipartisan,no relationship,1,NA,NA
4,criminal justice reform: liberal,no relationship,1,NA,NA
5,other,no relationship,7,NA,NA
5,education: liberal,no relationship,7,NA,NA
5,gerrymandering: liberal,no relationship,1,NA,NA
5,economy: liberal,no relationship,7,NA,NA
5,environment: liberal,no relationship,4,NA,NA
5,economy: conservative,no relationship,7,NA,NA
5,healthcare: liberal,no relationship,4,NA,NA
5,abortion and women's issues: liberal,no relationship,4,NA,NA
5,lgbtq+ issues: liberal,no relationship,4,NA,NA
5,race issues: liberal,no relationship,7,NA,NA
5,healthcare: conservative,no relationship,4,NA,NA
5,governance: liberal,no relationship,7,NA,NA
5,domestic violence: bipartisan,no relationship,7,NA,NA
