text,other,economic.liberal,economic.conservative,campaignfinance.corruption.opengovernment,crime.police,criminaljusticereform,domestic.violence,drugabuse,environment.climatechange,guncontrol.conservative,guncontrol.liberal,healthcare.bipartisan,healthcare.conservative,healthcare.liberal,education.liberal,education.conservative,infrastructure.roads.transportation,king.veterans,lgbt.anti,lgbt.pro,marijuana.anti,marijuana.pro,prochoice.womenshealth,prolife,raceissues.liberal,gerrymandering.anti,voting.conservative,voting.liberal
" @TheoKeith: .@SenStroebel says passing the sanctuary cities bill ""should be our top priority in March."" #DayWithoutLatinos #wipolitics",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @RightWisconsin: Vos: We will work with Gov. Walker and the AG to do as much as we can to tell the feds that we don't want Syrian refuge…,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Should states accept Syrian refugees or put a temporary hold on the program until we have a better vetting process.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After contacting Governor Scott Walker’s office on Saturday, I applaud his quick action in joining with fellow governors in calling on President Obama to not resettle additional Syrian refugees in Wisconsin. To read my entire statement, go to SenatorKapenga.com. #wipolitics #wiright",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Times editorial: Pause Syrian refugee program until security is in place ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unfortunately, until the US is in a position to be able to properly vet all Syrian refugees entering the country, we cannot accept the influx due to obvious, glaring security issues.



Today Wisconsin representatives signed a letter to the federal government refusing to accept Syrian refugees in Wisconsin.



Read the letter here and view the signers: ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Here is the letter I signed requesting that no Syrian refugees be sent to Wisconsin at this time.

",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""In light of these horrific and tragic attacks, our first priority must be to protect our citizens.  Along with governors across the country, I have deep concerns about the Obama Administration’s plan to accept 10,000 or more Syrian refugees, especially given that one of the Paris attackers was reportedly a Syrian refugee.  In consultation with our Adjutant General, who also serves as my Homeland Security Advisor, it is clear that the influx of Syrian refugees poses a threat.



With this in mind, I am calling upon the President to immediately suspend the program pending a full review of its security and acceptance procedures.  The State of Wisconsin will not accept new Syrian refugees.""



- See more at: ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @ThisIsFusion: Can we trust immigrants to bring their best? @antoniobanderas thinks so. #DearNextPresident

",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Obama's expansion of the Deferred Action for Childhood Arrivals program was set to begin today.  Unfortunately, this has been temporarily blocked by a federal judge in Texas.  



Let's work to educate friends and neighbors that will be affected by this decision.  Please read my full statement at the link below, share this post, and contact me with any questions.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"A pesar de la enorme derrota, aún tenemos DACA I y quiero asegurarme que mi comunidad lo sepa. Sabemos que todavía quedan cientos de miles de jóvenes que aún no han aplicado y cumple con los requisitos de elegibilidad y les animó fuertemente a que apliquen. ¡Gracias a la Asociación Americana de Abogados de Inmigración y a la Asociación de de Abogados Hispanos en Wisconsin por acompañarme!",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am proud to stand with my Democratic colleagues, along with thousands of Wisconsin citizens, in strong opposition to the anti-immigrant agenda of the Republican Party of Wisconsin. American strength comes from our diversity, equality, and opportunity. Generations of immigrants have helped build our nation and the immigrants of today will make America great into the future.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Come share your immigration story with Rep. Sargent so that we can create a Wisconsin for all of us



Ven y comparte tu historia de inmigración con ia Representante Sargent para crear un Wisconsin para todos.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @KSTP: O’Malley: “Our symbol is the Statue of Liberty, not a barbed wire fence” regarding immigration #DemDebate ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
 @CapTimesOpinion: Scott Walker's cynical politicizing of Syrian refugees makes @DaveZweifel sick. ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"“A person who thinks only about building walls, wherever they may be, and not building bridges, is not... ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Even if he doesn't build a real wall... there will be a wall. Walls are being built.  ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
" @news3jessica: WI Dairy farmers say the conversation on #immigration needs to shift, calling for guest worker programs. #news3 ",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
